date_time,city,state_province,country,ufo_shape,length_of_encounter_seconds,described_duration_of_encounter,description,date_documented,latitude,longitude
2014-03-17 20:58:00,cabot,pa,us,oval,90,90 seconds,Round&#44 bright&#44 orange in color&#44 no sound Appearing from the NE one at a time in line with each other and moving in a semicircle.,2014-03-18,40.7647222,-79.7666667
2014-03-17 22:22:00,new river,az,us,light,4,4 seconds,Red&#44 green and white bright light seen in New River&#44 AZ night sky.,2014-03-18,33.9158333,-112.1352778
2014-03-18 00:01:00,glenpool,ok,us,light,7200,2+ hours,White light in sky over Glenpool&#44 OK&#44 area.  Light looks long and horizontal.,2014-03-18,35.9552778,-96.0086111
2014-03-18 03:00:00,berwyn,il,us,light,15,10-15 seconds,BRIGHT RED/ORANGE LIKE LIGHT CONSUMED ENTIRE LIVING ROOM.,2014-03-18,41.8505556,-87.7936111
2014-03-18 10:10:00,piscataway,nj,us,oval,20,20 seconds,Oval shaped metal object seen following a wide-body aircraft and then disappearing with it at the same moment.,2014-03-21,40.4991667,-74.3994444
2014-03-18 16:15:00,wildomar,ca,us,unknown,1200,20 minutes,Daytime UFO above Riverside County.  Approx. 4:15 with Non commercial planes following within 30 min.,2014-03-21,33.5988889,-117.2791667
2014-03-18 20:00:00,albuquerque,nm,us,formation,30,30 seconds,Still lights in a row with no movement for 30 or so seconds.,2014-03-21,35.0844444,-106.6505556
2014-03-18 20:45:00,houston,tx,us,flash,2,2 seconds,Shooting ticket type of craft&#44 high in the night sky&#44 which seemed to take off like a sci fi space ship going into light speed.,2014-04-11,29.7630556,-95.3630556
2014-03-18 21:25:00,massillon,oh,us,formation,4,4 seconds,Green string of orbs&#44 steady on then to strobes then disappears over populated town.,2014-03-21,40.7966667,-81.5216667
2014-03-18 21:30:00,fair oaks,ca,us,unknown,1200,20 minutes,Flashing lights playing in the sky.,2014-03-21,38.6447222,-121.2711111
2014-03-18 23:40:00,olathe,ks,us,circle,300,5 minutes,Disc like object&#44 2 huge spot lights&#44 blue rings underneath.,2014-03-21,38.8813889,-94.8188889
2014-03-18 23:44:00,medford,or,us,disk,4260,1 hour&#44 11 minutes,Large multicolored disk radiating many colors w/ long hanging arms hovering over an hour above Griffin/Sterling Creek area.,2014-03-21,42.3266667,-122.8744444
2014-03-19 00:40:00,aurora,co,us,fireball,600,10 minutes,Amber Orb hovering over the skies in Aurora Colorado.,2014-04-04,39.7294444,-104.8313889
2014-03-19 02:00:00,lakeland,fl,us,triangle,1,hours,Shape shifting objects all over central Florida Sky.,2014-03-21,28.0391667,-81.95
2014-03-19 04:45:00,paradise valley,az,us,light,60,1 minute,Beam of light in Paradise Valley.,2014-03-21,33.5311111,-111.9419444
2014-03-19 06:00:00,stamford,ct,us,light,3,3 seconds,Two white bright flashes took up the whole room and disappeared in a matter of seconds.,2014-03-21,41.0533333,-73.5391667
2014-03-19 11:00:00,nashville,tn,us,cylinder,120,1-2 minutes,Cylinder&#44 shape surrounded by mist&#44 chased by black helicpter.,2014-04-04,36.1658333,-86.7844444
2014-03-19 18:00:00,arroyo grande,ca,us,light,900,15 minutes,Bright light spiraled away after 15 minute &quot;dance.&quot;,2014-03-21,35.1186111,-120.5897222
2014-03-19 19:00:00,oroville,ca,us,light,1800,30 minutes,4 lights in the sky for 30 minutes&#44 did not move.,2014-03-21,39.5138889,-121.5552778
2014-03-19 21:00:00,ormond beach,fl,us,triangle,900,15 minutes,V-Shaped cloudy object with 6 lights.,2014-03-21,29.2855556,-81.0561111
2014-03-19 21:20:00,augusta,ga,us,fireball,1800,30 minutes with breaks,7 flying bright orange balls of light on the sky at 9:20 PM.,2014-03-21,33.4708333,-81.975
2014-03-19 21:30:00,augusta,ga,us,oval,5,5 seconds,There where 3 objects in an oval shape turned sideways&#44 they illuminated in a orange yellowish color lights  in the sky&#44 they were in a,2014-03-27,33.4708333,-81.975
2014-03-19 21:45:00,sanford,fl,us,triangle,150,2.5 minutes,V-shaped Three Bright Lights in triangular formation; flying and hovering low in the sky. Three witnesses,2014-03-21,28.8002778,-81.2733333
2014-03-19 21:50:00,candler,nc,us,triangle,1.2,1.5-2 seconds,Bright triangular object seen over major interstate highway near medium size city.,2014-03-27,35.5363889,-82.6930556
2014-03-19 22:00:00,boynton beach,fl,us,circle,600,10 minutes,I can&#39t believe I didnt saw this in the news&#44 it was shape circle with red and green lights going back and forth like 300mph&#44,2014-03-21,26.525,-80.0666667
2014-03-19 22:00:00,lewisville,tx,us,formation,30,30 seconds,Red/orange orbs in the sky.,2014-03-21,33.0461111,-96.9938889
2014-03-19 22:20:00,austintown,oh,us,fireball,5,5 seconds,((HOAX??)) I couldn&#39t tell what it looked like before i could blink it was gone.  It had different colors coming out the back.,2014-03-21,41.1016667,-80.7647222
2014-03-19 22:26:00,santa fe,nm,us,chevron,300,5 minutes,V-shaped formation of lights moving noiselessly in night sky.,2014-03-21,35.6869444,-105.9372222
2014-03-19 23:15:00,conway,sc,us,light,30,1:30 seconds,Bright light moving across the night sky.,2014-03-21,33.8358333,-79.0480556
2014-03-19 23:30:00,issaquah,wa,us,rectangle,60,60 seconds,Green lit low flying rectangle.,2014-03-21,47.5302778,-122.0313889
2014-03-20 01:30:00,cosby,tn,us,fireball,900,15 minutes,Strange dancing lights making patterns in sky over Cosby&#44 TN after lifting off of the ground.,2014-03-21,35.8172222,-83.2469444
2014-03-20 06:10:00,fullerton,ca,us,unknown,1,~1 second,Orange colored object traveling from north to south following curvature of earth in less than 1 second.,2014-03-21,33.8702778,-117.9244444
2014-03-20 15:00:00,atwater,ca,us,sphere,7200,2 hours,Spherical motionless mystery object in the daytime sky looked like a mini-Moon.,2014-03-27,37.3477778,-120.6080556
2014-03-20 18:00:00,potterville,mi,us,light,120,2 minutes,Two huge blue lights over Potterville&#44 around 7pm&#44 3/21/14.,2014-03-21,42.6291667,-84.7388889
2014-03-20 18:45:00,gila bend,az,us,fireball,2700,45 minutes,Orange circular/orb like balls of light appearing and disappearing across sky&#44 radiating intense orange hue of light.,2014-03-21,32.9477778,-112.7161111
2014-03-20 19:00:00,patterson,la,us,other,180,3 minutes,A single craft of unique shape moving very fast&#44 no sound or vapor trail&#44 very high&#44 towards open waters of the Gulf of Mexico.,2014-04-04,29.6930556,-91.3019444
